id;nama_wisata;kabupaten;kategori_asli;kategori;htm_label;htm_min;htm_max;longitude;latitude;rating;deskripsi_singkat;image;image_status;google_maps_url
curug-banyunibo;Curug Banyunibo;Bantul;Air Terjun;Air Terjun;Rp 5.000;5000;5000;110.2867514;-7.867329743;4.2;Curug Banyunibo menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.;assets/img/curug-banyu-nibo.jpeg;matched;https://www.google.com/maps?q=-7.867329743,110.2867514
goa-selarong;Goa Selarong;Bantul;Air Terjun;Air Terjun;Rp 6.000;6000;6000;110.3148938;-7.861836764;4.4;Goa Selarong merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.;assets/img/goa-selarong.jpeg;matched;https://www.google.com/maps?q=-7.861836764,110.3148938
kedung-pengilon;Kedung Pengilon;Bantul;Air Terjun;Air Terjun;Rp 5.000;5000;5000;110.2889173;-7.855714375;4.1;Kedung Pengilon menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.;assets/img/kedung-pengilon.jpeg;matched;https://www.google.com/maps?q=-7.855714375,110.2889173
penawangan-srunggo-cascade;Penawangan Srunggo Cascade;Bantul;Air Terjun;Air Terjun;Rp 5.000;5000;5000;110.3804153;-7.976906814;4.7;Penawangan Srunggo Cascade menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.;assets/img/penawangan-srunggo-cascade.jpeg;matched;https://www.google.com/maps?q=-7.976906814,110.3804153
randusari-falls;Randusari Falls;Bantul;Air Terjun;Air Terjun;Rp 5.000;5000;5000;110.4885839;-7.918888849;4.3;Randusari Falls menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.;assets/img/randusari-falls.jpeg;matched;https://www.google.com/maps?q=-7.918888849,110.4885839
sendang-ngembel;Sendang Ngembel;Bantul;Air Terjun;Air Terjun;Rp 5.000;5000;5000;110.2923675;-7.885820498;3.9;Sendang Ngembel menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.;assets/img/Sendang-Ngembel.jpg;matched;https://www.google.com/maps?q=-7.885820498,110.2923675
becici-peak;Becici Peak;Bantul;Bukit;Bukit;Rp 5.000;5000;5000;110.4373437;-7.901778823;4.6;Becici Peak menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.;assets/img/becici-peak.jpg;matched;https://www.google.com/maps?q=-7.901778823,110.4373437
bukit-lintang-sewu;Bukit Lintang Sewu;Bantul;Bukit;Bukit;Rp 5.000;5000;5000;110.4366597;-7.915544661;4.5;Bukit Lintang Sewu menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.;assets/img/bukit-lintang-sewu.webp;matched;https://www.google.com/maps?q=-7.915544661,110.4366597
hutan-pinus-asri;Hutan Pinus Asri;Bantul;Bukit;Bukit;Rp 2.500;2500;2500;110.435549;-7.920623359;4.5;Hutan Pinus Asri menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.;assets/img/hutan-pinus-asri.jpeg;matched;https://www.google.com/maps?q=-7.920623359,110.435549
hutan-pinus-pengger;Hutan Pinus Pengger;Bantul;Bukit;Bukit;Rp 2.500;2500;2500;110.4595106;-7.871019614;4.5;Hutan Pinus Pengger menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.;assets/img/hutan-pinus-pengger.jpeg;matched;https://www.google.com/maps?q=-7.871019614,110.4595106
kebun-buah-mangunan;Kebun Buah Mangunan;Bantul;Bukit;Bukit;Rp 7.000;7000;7000;110.4246479;-7.940669507;4.7;Kebun Buah Mangunan menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.;assets/img/kebun-buah-mangunan.jpeg;matched;https://www.google.com/maps?q=-7.940669507,110.4246479
puncak-sosok;Puncak Sosok;Bantul;Bukit;Bukit;Rp 3.000;3000;3000;110.4268969;-7.872536635;4.7;Puncak Sosok menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.;assets/img/puncak-sosok.jpg;matched;https://www.google.com/maps?q=-7.872536635,110.4268969
seribu-batu-songgo-langit;Seribu Batu Songgo Langit;Bantul;Bukit;Bukit;Rp 5.000;5000;5000;110.4308552;-7.930841563;4.6;Seribu Batu Songgo Langit menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.;assets/img/seribu-batu-songgo-langit.png;matched;https://www.google.com/maps?q=-7.930841563,110.4308552
goa-sunan-mas;Goa Sunan Mas;Bantul;Goa;Goa;Belum tersedia;;;110.3256254;-7.989240095;4.5;Destinasi wisata alam tersembunyi yang menawarkan perpaduan antara petualangan susur gua (caving) yang menantang dengan keindahan stalaktit dan stalagmit yang memukau. Gua ini sangat ikonik karena merupakan bagian dari sistem gua eksotis di kawasan karst Parangtritis yang memiliki nilai sejarah dan spiritual tinggi, di mana dinamai berdasarkan kisah pelarian dan petilasan Sunan Amangkurat III (Sunan Mas) dari Kasunanan Kartasura. Wisatawan yang datang ke sini akan disuguhkan petualangan menyusuri lorong bawah tanah yang eksotis, melihat batuan kristal alami yang berkilauan saat terkena cahaya senter, serta merasakan atmosfer ketenangan yang sunyi di dalam perut bumi.;;missing;https://www.google.com/maps?q=-7.989240095,110.3256254
gua-cerme;Gua Cerme;Bantul;Goa;Goa;Rp 10.000;10000;10000;110.379916;-7.979032576;4.5;Gua Cerme merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.;assets/img/goa-cerme.jpeg;matched;https://www.google.com/maps?q=-7.979032576,110.379916
batu-kapal-park;Batu Kapal Park;Bantul;Sungai;Lainnya;Rp 5.000;5000;5000;110.4536387;-7.820704619;4.5;Batu Kapal Park menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.;assets/img/batu-kapal-park.jpeg;matched;https://www.google.com/maps?q=-7.820704619,110.4536387
hilir-sungai-opak;Hilir Sungai Opak;Bantul;Lainnya;Lainnya;Belum tersedia;;;110.273607;-8.007929188;5.0;Destinasi wisata alam yang menawarkan perpaduan lanskap memukau antara ujung aliran sungai besar di Yogyakarta dengan hamparan Samudra Hindia yang luas. Kawasan hilir Sungai Opak ini sangat ikonik karena menjadi titik temu ekologis yang menciptakan fenomena muara sungai (estuari) yang lebar dengan hamparan gumuk pasir dan pemandangan megah Jembatan Kretek II yang berdiri kokoh melintang di atasnya. Tempat ini menjadi spot favorit para pemburu senja karena menyuguhkan salah satu panorama matahari terbenam (sunset) terbaik, di mana pantulan cahaya keemasan langit sore akan merekah sempurna di atas permukaan air sungai yang tenang, menciptakan suasana yang sangat syahdu dan romantis.;;missing;https://www.google.com/maps?q=-8.007929188,110.273607
lembah-oyo-kedung-jati;Lembah Oyo, Kedung Jati;Bantul;Sungai;Lainnya;Rp 5.000;5000;5000;110.4320143;-7.944071896;4.6;Lembah Oyo, Kedung Jati menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.;assets/img/Lembah-Oya-Kedungjati.webp;matched;https://www.google.com/maps?q=-7.944071896,110.4320143
putrobayan-river-camp;Putrobayan River Camp;Bantul;Sungai;Lainnya;Rp 10.000;10000;10000;110.3606603;-7.956428912;4.7;Putrobayan River Camp menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.;assets/img/putrobayan-river-camp.jpg;matched;https://www.google.com/maps?q=-7.956428912,110.3606603
goa-cemara-beach;Goa Cemara Beach;Bantul;Pantai;Pantai;Rp 10.000;10000;10000;110.2502874;-7.996454836;4.4;Goa Cemara Beach menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.;assets/img/goa-cemara-beach.webp;matched;https://www.google.com/maps?q=-7.996454836,110.2502874
kano-maritim-baros;Kano Maritim Baros;Bantul;Pantai;Pantai;Rp 25.000 – Rp 50.000;25000;50000;110.2844924;-8.002177835;4.8;;;missing;https://www.google.com/maps?q=-8.002177835,110.2844924
laguna-baros;Laguna Baros;Bantul;Pantai;Pantai;Rp 5.000;5000;5000;110.2832524;-8.007776691;4.4;Laguna Baros menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.;assets/img/laguna-baros.jpeg;matched;https://www.google.com/maps?q=-8.007776691,110.2832524
